"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees.
"
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"11-Feb-2021 9:03:23 am UTC","14992905562","Order
","405-3517276-0714713","IT-RHCZ-FEN9","Eureka Forbes AquaSure from Aquaguard Amaze RO+UV+MTDS 7L Water Purifier","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NEW TOWN","WEST BENGAL","700156","8,889.83","0","-416.10","1,525.27","0","0","-84.74","-766.93","-272.58","-35.40","0","8,839.35"
"11-Feb-2021 9:12:01 am UTC","14992864822","Order
","402-8602076-6085943","EF-2PD9-UCGN","Samsung Metro 313 (SM-B313E, Black)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","kotagiri","TAMIL NADU","643201","1,923.73","33.90","-33.90","346.27","0","0","-19.24","-133.93","-62.54","-35.40","0","2,018.89"
"11-Feb-2021 9:13:32 am UTC","14992864822","Order
","171-4339280-9248369","M4-HLPZ-H2PT","Wahl Professional Super Taper Hair Clipper","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","MANDI","HIMACHAL PRADESH","175001","3,577.12","33.90","-33.90","643.88","0","0","-35.77","-224.14","-109.74","-35.40","0","3,815.95"
"11-Feb-2021 9:14:26 am UTC","14992905562","Order
","406-8431728-2686747","IT-RHCZ-FEN9","Eureka Forbes AquaSure from Aquaguard Amaze RO+UV+MTDS 7L Water Purifier","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","IRUGUR","TAMIL NADU","641103","8,889.83","33.90","-450.00","1,525.27","0","0","-84.74","-766.92","-272.58","-35.40","0","8,839.36"
"11-Feb-2021 9:23:41 am UTC","14992864822","Refund
","406-4555734-0927503","Q6-3NL0-QLI6","Prestige Svachh Nakshatra Plus Hard Anodised 5 Litre Pressure Handi","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","JAIPUR","RAJASTHAN","302017","-2,250.00","-35.71","35.71","-270.00","0","0","22.50","166.52","0","35.40","0","-2,295.58"
"11-Feb-2021 9:24:31 am UTC","14992905562","Order
","403-6044405-6581115","R4-GTBR-SPK3","BERGNER Alpine Forged Aluminium Non-Stick Kadhai with Glass Lid, 24 cm, 2.16 Liters. Induction Base, Grey, 24 cm, 2.16 ltr","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","HYDERABAD","TELANGANA","500070","1,186.61","0","0","142.39","0","0","-11.87","-180.35","-130.98","-35.40","0","970.40"
"11-Feb-2021 9:26:04 am UTC","14992905562","Order
","403-7241892-0614710","16-4YHJ-CZRC","Bajaj Rex Mixer Grinder, 500W, 3 Jars (White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NEW TOWN","WEST BENGAL","700156","1,865.25","0","0","335.75","0","0","-18.65","-142.85","-152.22","-35.40","0","1,851.88"
"11-Feb-2021 9:31:18 am UTC","14992905562","Order
","402-2565456-2802743","L9-MZGG-U836","Wonderchef - 63152931 Luxe Multicook 1.2 L Kettle, Red","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NEW DELHI","DELHI","110015","1,609.32","0","0","289.68","0","0","-16.09","-123.25","-109.74","-35.40","0","1,614.52"
"11-Feb-2021 9:33:23 am UTC","14992905562","Order
","402-9502960-6406705","KY-H34R-68T0","Prestige Induction Cooktop Pic 20.0 With Omega Deluxe Byk Set 3 Pc Set,Black","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MACHILIPATNAM","ANDHRA PRADESH","521001","3,041.53","0","0","547.47","0","0","-30.42","-232.93","-230.10","-35.40","0","3,060.15"
"11-Feb-2021 9:33:36 am UTC","14992864822","Order
","171-8412839-9721922","K6-A44K-8QEL","Samsung Galaxy Buds Live (SM-R180NZNAINU) Mystic Bronze","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","ALWAR","RAJASTHAN","301412","8,605.08","33.90","-33.90","1,548.92","0","0","-86.05","-1,797.26","-62.54","-35.40","0","8,172.75"
"11-Feb-2021 9:34:11 am UTC","14992905562","Order
","404-5337957-7175502","36305","Prestige Omega Deluxe Granite Fry Pan, 240mm, Black (36305)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BENGALURU","KARNATAKA","560094","866.07","11.90","-11.90","103.93","0","0","-8.66","-74.40","-109.74","-17.70","0","759.50"
"11-Feb-2021 9:40:19 am UTC","14992864822","Adjustment
","406-3695949-3548363","YR-XNGV-U0KY","FBA Inventory Reimbursement - Customer Return","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","430.36","430.36"
"11-Feb-2021 9:41:11 am UTC","14992864822","Order
","408-5295721-2229150","4B-9402-NYMX","Usha Aqua Glow Smart Steam Iron 2000 W with Innovative LED Indicator On Handle, Durable Ceramic Soleplate, Powerful Steam Output from 73 Steam Vents,","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","Ugarkhurd","KARNATAKA","591316","2,116.95","33.90","-33.90","381.05","0","0","-21.17","-162.12","-109.74","-35.40","0","2,169.57"
"11-Feb-2021 9:41:17 am UTC","14992864822","Order
","171-0976155-9046742","2M-BQ91-FE83","Morphy Richards Pronto Ultra 300-Watt Hand Blender (Blue)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","NANAUTA","UTTAR PRADESH","247452","1,414.41","33.90","-33.90","254.59","0","0","-14.14","-108.32","-88.50","-35.40","0","1,422.64"
"11-Feb-2021 9:41:42 am UTC","14992905562","Order
","408-6100325-9177965","VF-E7DT-39R3","realme Fashion Watch","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MUMBAI","MAHARASHTRA","400007","3,091.53","33.90","-33.90","561.05","0","0","-31.17","-624.17","-92.54","-35.40","0","2,894.72"
"11-Feb-2021 9:45:25 am UTC","14992864822","Order
","408-6883432-3681935","H3-MQ7E-4G7S","Sujata Powermatic Plus 900 Watts Juicer Mixer Grinder","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","AMBEDKAR NAGAR","UTTAR PRADESH","224122","4,700.85","0","0","846.15","0","0","-47.01","-425.46","-244.26","-35.40","0","4,794.87"
"11-Feb-2021 9:45:42 am UTC","14992905562","Order
","402-1577260-0216301","9M-19W9-8MG1","Bajaj Majesty New SWX-3, 2-Slice Sandwich Toaster (White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","PATNA","BIHAR","800020","1,227.12","33.90","-33.90","220.88","0","0","-12.27","-93.98","-130.98","-35.40","0","1,175.37"
"11-Feb-2021 9:45:58 am UTC","14992905562","Order
","171-1515876-9058739","H3-MQ7E-4G7S","Sujata Powermatic Plus 900 Watts Juicer Mixer Grinder","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","VASAI VIRAR","MAHARASHTRA","401202","4,700.85","0","0","846.15","0","0","-47.01","-425.46","-244.26","-35.40","0","4,794.87"
"11-Feb-2021 9:57:31 am UTC","14992864822","Refund
","405-1618992-8301140","39-B7FP-GHKY","Panasonic SR-WA10 ge9 Automatic Electric Rice Cooker (Burgundy)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","Karimganj","ASSAM","788722","-1,275.42","-33.90","33.90","-229.58","0","0","12.75","78.14","0","35.40","0","-1,378.71"
"11-Feb-2021 9:59:05 am UTC","14992905562","Order
","405-9505699-0257902","OM-HYM1-WOKT","Saregama Carvaan Mini 2.0- Music Player with Bluetooth/FM/AM/AUX (Sapphire Green)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","CHANDIGARH","CHANDIGARH","160015","1,686.44","33.90","-33.90","303.56","0","0","-16.86","-199.60","-62.54","-35.40","0","1,675.60"
"11-Feb-2021 9:59:27 am UTC","14992864822","Order
","171-7606399-4114727","VF-E7DT-39R3","realme Fashion Watch 1.4"" Large HD Color Display, Full Touch Screen, SpO2, Continuous Heart Rate Monitor","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","ORDNANCE FACTORY BHADRAVATI TOWNSHIP","MAHARASHTRA","442902","3,023.73","33.90","-33.90","544.27","0","0","-30.24","-610.48","-62.54","-35.40","0","2,829.34"
"11-Feb-2021 9:59:47 am UTC","14992905562","Order
","403-0442201-2246758","VF-E7DT-39R3","realme Fashion Watch 1.4"" Large HD Color Display, Full Touch Screen, SpO2, Continuous Heart Rate Monitor","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MUMBAI","MAHARASHTRA","400080","3,023.73","0","0","544.27","0","0","-30.24","-610.48","-62.54","-35.40","0","2,829.34"
"11-Feb-2021 10:03:34 am UTC","14992864822","Order
","406-3881551-7983560","VF-E7DT-39R3","realme Fashion Watch 1.4"" Large HD Color Display, Full Touch Screen, SpO2, Continuous Heart Rate Monitor","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","HYDERABAD","TELANGANA","500008","3,023.73","33.90","-33.90","544.27","0","0","-30.24","-610.48","-62.54","-35.40","0","2,829.34"
"11-Feb-2021 10:04:18 am UTC","14992905562","Order
","408-7702807-1644303","74-ZR7L-FUQV","Samsung Galaxy Tab A 8.0 (Black, 2GB RAM, 32GB Storage) WiFi + 4G","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Medchel","TELANGANA","500088","9,300.85","0","0","1,674.15","0","0","-93.01","-647.53","-88.50","-35.40","0","10,110.56"
"11-Feb-2021 10:04:18 am UTC","14992905562","Order
","402-4469779-3295554","K6-A44K-8QEL","Samsung Galaxy Buds Live (SM-R180NZNAINU) Mystic Bronze","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NEW DELHI","DELHI","110077","8,605.08","33.90","-33.90","1,548.92","0","0","-86.05","-1,797.26","-62.54","-35.40","0","8,172.75"
"11-Feb-2021 10:10:01 am UTC","14992905562","Order
","405-6051012-0802760","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Rishra","WEST BENGAL","712248","455.93","0","0","82.07","0","0","-4.56","-34.92","-88.50","-17.70","0","392.32"
"11-Feb-2021 10:10:10 am UTC","14992864822","Order
","408-6638666-5385966","I2-BGSY-X4WS","Morphy Richards Super Glide 2000-Watt Steam Iron (White/Blue)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","PUNE","MAHARASHTRA","411001","1,893.22","33.90","-33.90","340.78","0","0","-18.93","-144.99","-109.74","-35.40","0","1,924.94"
"11-Feb-2021 10:10:25 am UTC","14992864822","Order
","403-1288178-2836360","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","KANPUR","UTTAR PRADESH","208020","455.93","33.90","-33.90","82.07","0","0","-4.56","-34.92","-88.50","-17.70","0","392.32"
"11-Feb-2021 10:10:32 am UTC","14992864822","Order
","405-9958856-4461113","VF-E7DT-39R3","realme Fashion Watch 1.4"" Large HD Color Display, Full Touch Screen, SpO2, Continuous Heart Rate Monitor","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","MUMBAI","MAHARASHTRA","400092","3,023.73","0","0","544.27","0","0","-30.24","-610.48","-62.54","-35.40","0","2,829.34"
"11-Feb-2021 10:10:47 am UTC","14992864822","Order
","405-0258546-2947554","VF-E7DT-39R3","realme Fashion Watch 1.4"" Large HD Color Display, Full Touch Screen, SpO2, Continuous Heart Rate Monitor","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","SATARA","MAHARASHTRA","415004","3,023.73","33.90","-33.90","544.27","0","0","-30.24","-610.48","-62.54","-35.40","0","2,829.34"
"11-Feb-2021 10:10:54 am UTC","14992905562","Order
","408-1860663-0630709","BC-3YV2-FIQ9","Prestige PKOSS 1.8-Litre 1500W Electric Kettle (can't be used to boil milk)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","CHENNAI","TAMIL NADU","600062","825.42","33.90","-33.90","148.58","0","0","-8.25","-63.21","-130.98","-17.70","0","753.86"
"11-Feb-2021 10:11:00 am UTC","14992905562","Order
","407-5287504-5812358","K6-A44K-8QEL","Samsung Galaxy Buds Live (SM-R180NZNAINU) Mystic Bronze","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NEW DELHI","DELHI","110017","8,605.08","0","0","1,548.92","0","0","-86.05","-1,797.26","-62.54","-35.40","0","8,172.75"
"11-Feb-2021 10:12:24 am UTC","14992905562","Order
","403-4646017-7797138","QO-OETB-YAIF","BERGNER Alpine Forged Aluminium Non-Stick Kadhai with Glass Lid, 28 cm, 3.6 Liters, Induction Base, Grey., 28 cm, 3.6 ltr","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Padur","TAMIL NADU","603103","1,472.32","0","0","176.68","0","0","-14.72","-223.78","-130.98","-35.40","0","1,244.12"
"11-Feb-2021 10:13:22 am UTC","14992905562","Order
","407-6832225-3352305","36305","Prestige Omega Deluxe Granite Fry Pan, 240mm, Black (36305)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","SHILLONG","MEGHALAYA","793005","866.07","11.90","-11.90","103.93","0","0","-8.66","-74.40","-109.74","-17.70","0","759.50"
"11-Feb-2021 10:18:13 am UTC","14992905562","Order
","171-7186711-0528363","60004000","Wonderchef Milk Boiler 2 Litres, Silver","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","RANCHI","JHARKHAND","834001","1,203.57","0","0","144.43","0","0","-12.04","-182.92","-109.74","-35.40","0","1,007.90"
"11-Feb-2021 10:30:24 am UTC","14992905562","Refund
","407-4914502-6242700","YR-XNGV-U0KY","Prestige PGMFB 800 Watt Grill Sandwich Toaster with Fixed Grill Plates, Black","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","DEORIA","UTTAR PRADESH","274001","-1,057.63","-16.95","16.95","-190.37","0","0","10.58","64.80","0","35.40","0","-1,137.22"
"11-Feb-2021 10:34:34 am UTC","14992864822","Order
","408-2956090-3541117","BC-3YV2-FIQ9","Prestige PKOSS 1.8-Litre 1500W Electric Kettle (can't be used to boil milk)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","CHENNAI","TAMIL NADU","600062","825.42","33.90","-33.90","148.58","0","0","-8.25","-63.21","-130.98","-17.70","0","753.86"
"11-Feb-2021 10:34:49 am UTC","14992864822","Order
","407-2634826-1439524","H3-MQ7E-4G7S","Sujata Powermatic Plus 900 Watts Juicer Mixer Grinder","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","VIJAYAWADA","ANDHRA PRADESH","520012","4,700.85","33.90","-33.90","846.15","0","0","-47.01","-425.46","-244.26","-35.40","0","4,794.87"
"11-Feb-2021 10:35:11 am UTC","14992905562","Order
","407-9163796-6238737","51-VTL9-C956","Bajaj Food Factory FX 11 600-Watt Food Processor (White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","HYDERABAD","TELANGANA","500015","5,444.07","0","0","979.93","0","0","-54.44","-492.72","-315.06","-35.40","0","5,526.38"
"11-Feb-2021 10:45:59 am UTC","14992905562","Order
","406-0474188-5051561","08-1951-PDSJ","WAHL WMMP6-0324 3D Shiatsu Massage All Rounder (Gray)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MUMBAI","MAHARASHTRA","400080","5,184.82","35.72","-35.72","622.18","-25.92","-25.92","0","-616.70","-300.90","-35.40","0","4,802.16"
"11-Feb-2021 10:47:47 am UTC","14992864822","Order
","406-6084626-7700345","QO-OETB-YAIF","BERGNER Alpine Forged Aluminium Non-Stick Kadhai with Glass Lid, 28 cm, 3.6 Liters, Induction Base, Grey., 28 cm, 3.6 ltr","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","AIZAWL","MIZORAM","796001","1,472.32","35.71","-35.71","176.68","0","0","-14.72","-223.78","-130.98","-35.40","0","1,244.12"
"11-Feb-2021 10:51:58 am UTC","14992905562","Order
","171-0098618-8856353","IT-RHCZ-FEN9","Eureka Forbes AquaSure from Aquaguard Amaze RO+UV+MTDS 7L Water Purifier","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","HYDERABAD","TELANGANA","500074","8,889.83","0","-416.10","1,525.27","0","0","-84.74","-766.92","-272.58","-35.40","0","8,839.36"
"11-Feb-2021 10:53:06 am UTC","14992905562","Order
","406-4742644-4333156","L5-A9FO-6R1Q","Prestige Omega Deluxe Induction Base Non-Stick Kitchen Set, 3-Pieces","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MUSTAFABAD","HARYANA","133202","1,847.32","35.71","-35.71","221.68","0","0","-18.47","-158.70","-173.46","-35.40","0","1,682.97"
"11-Feb-2021 10:53:28 am UTC","14992905562","Order
","404-2757799-3588309","0Z-AE13-IBWN","Bajaj JEX 16 800-Watt Juicer (Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NEW DELHI","DELHI","110020","4,101.69","0","0","738.31","0","0","-41.02","-314.12","-187.62","-35.40","0","4,261.84"
"11-Feb-2021 10:53:31 am UTC","14992905562","Order
","404-7697264-5939502","H3-MQ7E-4G7S","Sujata Powermatic Plus 900 Watts Juicer Mixer Grinder","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NAGPUR","MAHARASHTRA","440034","4,700.85","33.90","-33.90","846.15","0","0","-47.01","-425.46","-244.26","-35.40","0","4,794.87"
"11-Feb-2021 10:53:50 am UTC","14992864822","Order
","403-7333099-6965954","YF-55MP-8GWB","Saregama Carvaan Mini 2.0- Music Player with Bluetooth/FM/AM/AUX (Skyline Blue)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","KACHCHH","GUJARAT","370205","1,686.44","33.90","-33.90","308.14","0","0","-17.11","-199.60","-92.54","-35.40","0","1,675.35"
"11-Feb-2021 10:53:56 am UTC","14992864822","Order
","171-6267613-7674724","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","SAHARANPUR","UTTAR PRADESH","247001","455.93","33.90","-33.90","82.07","0","0","-4.56","-34.92","-88.50","-17.70","0","392.32"
"11-Feb-2021 10:54:09 am UTC","14992905562","Order
","402-3617199-8779562","1N-V2NN-FX2P","Prestige PPBW 04 Barbeque","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BHOPAL","MADHYA PRADESH","462026","1,854.24","11.29","-11.29","333.76","-9.27","-9.27","0","-142.00","-152.22","-35.40","0","1,839.84"
"11-Feb-2021 10:55:34 am UTC","14992905562","Order
","402-8172548-1161917","JC-9ASN-OTGU","Sujata SuperMix SM Mixer Grinder, 900W, 3 Jars (White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BENGALURU","KARNATAKA","560072","4,300.00","0","0","774.00","0","0","-43.00","-389.18","-230.10","-35.40","0","4,376.32"
"11-Feb-2021 10:55:39 am UTC","14992864822","Order
","408-9349360-6223555","G0-LWKH-2HLU","Panasonic MX-AC220-H 550-Watt 2-Jar Super Mixer Grinder (Grey)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","MUMBAI","MAHARASHTRA","400053","3,049.16","33.90","-33.90","548.84","-15.25","-15.25","0","-233.51","-187.62","-35.40","0","3,110.97"
"11-Feb-2021 10:57:12 am UTC","14992905562","Order
","404-5367296-5706721","7W-2B9R-HA8P","Prestige PSMFB 800 Watt Sandwich Toaster with Fixed Plates, Black","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MUMBAI","MAHARASHTRA","400071","1,007.62","0","0","181.38","-5.04","-5.04","0","-77.17","-109.74","-35.40","0","956.61"
"11-Feb-2021 10:58:36 am UTC","14992905562","Refund
","406-2382090-1816305","TN-Y34P-OK99","Sujata Dynamix DX Mixer Grinder, 900W, 3 Jars (White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","GURUGRAM","HARYANA","122004","-4,906.78","0","0","-883.22","0","0","49.07","444.09","0","53.10","0","-5,243.74"
"11-Feb-2021 11:04:12 am UTC","14992905562","Order
","403-5652545-5106719","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","VYARA","GUJARAT","394650","455.93","0","0","82.07","0","0","-4.56","-34.92","-88.50","-17.70","0","392.32"
"11-Feb-2021 11:04:24 am UTC","14992905562","Order
","406-4264291-2457157","9Q-TS75-R4P0","Sujata Dynamix, Mixer Grinder, 900 Watts, 3 Jars (White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","GANDHINAGAR","GUJARAT","382355","4,914.41","33.90","-33.90","884.59","0","0","-49.14","-444.79","-230.10","-35.40","0","5,039.57"
